article_id,article_name,target_fill_rate,realized_fill_rate,total_demand,filled_demand,lost_sales,avg_on_hand,orders_placed,units_ordered,avg_R,Q
1362,Batteries,0.998951416015625,0.9996938364911913,114318,114283,35,4305.834254143647,58,118320,7700.066298342542,2040
1368,"Glasses (drink, beer, wine etc)",0.998951416015625,1.0,5144,5144,0,355.10497237569064,873,5238,547.4530386740331,6
1369,"Glasses (drink, beer, wine etc)",0.998951416015625,0.9748221127531472,1827,1781,46,178.30939226519337,436,1744,223.0,4
1373,Wash treatment and accessories,0.998951416015625,0.9610420089180943,8522,8190,332,410.8066298342541,23,8142,534.232044198895,354
1378,Drink & food To Go,0.998951416015625,1.0,7829,7829,0,531.0331491712707,25,8000,662.8232044198895,320
1379,Window and squeegees,0.998951416015625,0.8653269146141435,74989,64890,10099,1202.6740331491712,304,65664,2138.2265193370167,216
1380,Window and squeegees,0.998951416015625,0.8303914244514324,115118,95593,19525,2681.441988950276,166,95616,3756.281767955801,576
1382,Others,0.998951416015625,1.0,3977,3977,0,1153.110497237569,2,3456,645.9171270718232,1728
1383,Table textiles,0.998951416015625,1.0,36285,36285,0,7139.950276243094,6,34200,10894.734806629835,5700
1384,Baskets,0.998951416015625,1.0,2516,2516,0,306.8453038674033,65,2600,382.3922651933702,40
1389,Tea and coffee,0.998951416015625,1.0,2698,2698,0,90.86740331491713,461,2766,191.08287292817678,6
1393,Kitchen helpers,0.998951416015625,0.9418617430486866,9099,8570,529,439.0552486187845,13,8424,434.22651933701655,648
1397,Tableware,0.998951416015625,1.0,8845,8845,0,3829.718232044199,9272,9272,8105.618784530387,1
1399,Store kitchen,0.998951416015625,1.0,40,40,0,221.61325966850828,0,0,91.72375690607734,1
1403,Mugs and cups,0.998951416015625,0.9919004805456518,25804,25595,209,7199.922651933702,10,8280,8740.872928176796,828
1433,Puzzles,0.998951416015625,0.6412441414571793,9388,6020,3368,572.0386740331492,5978,5978,505.2817679558011,1
1438,Measuring and weighing,0.998951416015625,1.0,45133,45133,0,13094.016574585636,4,12000,18569.60773480663,3000
1440,"TV, Audio & Video",0.998951416015625,0.9872419724770642,13952,13774,178,273.0,139,13900,450.6132596685083,100
1444,Planks,0.998951416015625,1.0,19061,19061,0,13236.016574585636,2,14400,14583.685082872928,7200
1445,Kitchen tools,0.998951416015625,1.0,8382,8382,0,884.2762430939226,31,8928,1956.8453038674033,288
1446,Cutlery trays,0.998951416015625,0.999801635405876,45371,45362,9,634.9171270718232,285,45600,1307.2265193370165,160
1448,Store kitchen,0.998951416015625,1.0,9369,9369,0,420.49171270718233,29,9280,963.9613259668508,320
1449,Drying racks,0.998951416015625,0.9799314733235438,2043,2002,41,219.9060773480663,9,1800,103.88397790055248,200
1451,Foils and bags,0.998951416015625,1.0,165,165,0,1361.9558011049724,85,85,1349.9281767955802,1
1453,Bathroom accessories,0.998951416015625,0.9524730509968998,35159,33488,1671,12406.0,14,50400,34168.42541436464,3600
1456,Baskets,0.998951416015625,1.0,2884,2884,0,531.6850828729282,17,2720,1016.3922651933701,160
1458,Baskets,0.998951416015625,1.0,8054,8054,0,1105.4585635359117,19,7980,2531.1215469613257,420
1460,Baskets,0.998951416015625,1.0,10458,10458,0,405.95580110497235,19,10260,306.24309392265195,540
1461,Baskets,0.998951416015625,1.0,12061,12061,0,349.47513812154693,31,11904,336.30939226519337,384
1462,Storage boxes,0.998951416015625,1.0,6753,6753,0,499.1436464088398,137,6576,606.6408839779006,48
1463,Bed textile,0.998951416015625,1.0,734,734,0,300.55801104972375,51,1020,591.1657458563536,20
1466,Cleaning products,0.998951416015625,0.9626462646264626,6666,6417,249,169.04419889502762,57,6498,356.3314917127072,114
1468,Cleaning products,0.998951416015625,1.0,5087,5087,0,467.23204419889504,31,5394,583.6685082872929,174
1469,Cleaning products,0.998951416015625,0.5796629053669637,84368,48905,35463,13904.701657458563,738,70848,7666.209944751381,96
1470,Cleaning products,0.998951416015625,1.0,7796,7796,0,820.9226519337017,9,7200,688.7292817679559,800
1471,Window and squeegees,0.998951416015625,0.9402788244159759,10616,9982,634,484.8839779005525,568,10224,852.0718232044198,18
1474,Ironing,0.998951416015625,0.7413349477826547,6607,4898,1709,861.8674033149172,212,5088,830.2872928176796,24
1477,Frying pans,0.998951416015625,0.7030411449016101,1118,786,332,90.00552486187846,1165,1165,113.02209944751381,1
1490,Easter,0.998951416015625,0.7992962451561177,22451,17945,4506,3686.46408839779,18069,18069,3154.8232044198894,1
1506,Tea and coffee,0.998951416015625,1.0,4085,4085,0,4577.055248618784,394,4728,6548.353591160221,12
1507,Boys toys,0.998951416015625,1.0,49,49,0,830.0331491712707,0,0,775.3977900552486,6
1508,Teletoys,0.998951416015625,1.0,946,946,0,535.767955801105,7,840,505.03314917127074,120
1512,Hobby and creative,0.998951416015625,1.0,304,304,0,57.773480662983424,24,312,61.75690607734806,13
1513,Serve and present,0.998951416015625,1.0,2770,2770,0,2625.92817679558,6516,6516,5408.508287292818,1
1514,Tableware,0.998951416015625,1.0,2077,2077,0,367.69060773480663,5,1920,246.12154696132598,384
1527,Wash treatment and accessories,0.998951416015625,0.6828830982548411,8366,5713,2653,739.646408839779,10,5280,531.889502762431,528
1531,Drink & food To Go,0.998951416015625,1.0,1940,1940,0,1121.2486187845304,3,1872,925.9171270718232,624
1533,"Cloths, mops, sponges and brush",0.998951416015625,1.0,12046,12046,0,1009.3646408839779,9,10800,1237.5193370165746,1200
1537,Cutlery,0.998951416015625,1.0,3376,3376,0,155.97790055248618,145,3480,276.55801104972375,24
1538,Drying racks,0.998951416015625,1.0,26,26,0,7348.67955801105,0,0,2201.6629834254145,3200
1540,Bicycle accessories,0.998951416015625,0.8983666061705989,1653,1485,168,472.3922651933702,22,1452,432.45303867403317,66
1545,Table textiles,0.998951416015625,1.0,759,759,0,286.9171270718232,2,576,141.23756906077347,288
1548,Ironing board textiles,0.998951416015625,1.0,33710,33710,0,1273.5911602209944,103,33990,5907.07182320442,330
1559,Tea and coffee,0.998951416015625,0.9249247575521123,17942,16595,1347,847.1491712707183,21,16380,1013.9944751381215,780
1561,Tea and coffee,0.998951416015625,1.0,502,502,0,1005.7734806629834,0,0,534.5690607734807,432
1564,Tableware,0.998951416015625,1.0,6517,6517,0,4005.9447513812156,1,3024,2612.966850828729,3024
1570,Kitchen tools,0.998951416015625,1.0,523,523,0,405.01657458563534,10,480,397.6243093922652,48
1571,Tableware,0.998951416015625,1.0,3657,3657,0,467.8618784530387,50,3600,566.3093922651934,72
1575,"Cloths, mops, sponges and brush",0.998951416015625,1.0,2108,2108,0,799.9889502762431,2,1260,579.1436464088398,630
1582,Light bulbs,0.998951416015625,1.0,7425,7425,0,1105.121546961326,19,7315,1190.1491712707182,385
1584,Light bulbs,0.998951416015625,1.0,845,845,0,279.0552486187845,2,748,110.73480662983425,374
1585,Boys toys,0.998951416015625,1.0,1697,1697,0,485.23204419889504,4,1440,385.9502762430939,360
1589,Planks,0.998951416015625,1.0,346,346,0,2311.0441988950274,136,136,2307.1988950276245,1
1593,Puzzles,0.998951416015625,1.0,510,510,0,492.17127071823205,4,480,438.9889502762431,120
1597,Hobby and creative,0.998951416015625,1.0,3078,3078,0,210.67403314917127,312,3120,385.8066298342541,10
1605,Puzzles,0.998951416015625,1.0,4065,4065,0,129.3977900552486,343,4116,189.98342541436463,12
1606,Games,0.998951416015625,0.9840752110514198,5212,5129,83,253.707182320442,434,5208,378.2486187845304,12
1607,Hobby and creative,0.998951416015625,1.0,3304,3304,0,161.62983425414365,45,3330,249.17127071823205,74
1612,Foodprep,0.998951416015625,1.0,20935,20935,0,10066.563535911602,9,23220,18284.729281767955,2580
1613,Reading glasses,0.998951416015625,1.0,1497,1497,0,2779.2154696132598,0,0,1012.0055248618785,2500
1617,"Glasses (drink, beer, wine etc)",0.998951416015625,1.0,1191,1191,0,654.9502762430939,1,624,372.1436464088398,624
1618,"Glasses (drink, beer, wine etc)",0.998951416015625,0.975262147393295,13542,13207,335,1142.8839779005525,19,12768,1268.0828729281768,672
1619,Residential odors,0.998951416015625,1.0,233,233,0,601.817679558011,106,106,585.707182320442,1
1621,Waste bins,0.998951416015625,1.0,2342,2342,0,243.15469613259668,5,2160,70.99447513812154,432
1623,Kitchen helpers,0.998951416015625,1.0,15885,15885,0,6454.674033149171,7,16884,12826.232044198896,2412
1624,Cutlery,0.998951416015625,1.0,24225,24225,0,9721.972375690608,7,25200,19264.491712707182,3600
1626,Drying racks,0.998951416015625,1.0,13613,13613,0,546.4198895027624,570,13680,1050.9944751381215,24
1631,Tea and coffee,0.998951416015625,1.0,22966,22966,0,5446.618784530387,16,13056,10528.740331491712,816
1636,Tableware,0.998951416015625,1.0,195,195,0,63.53591160220994,7,168,55.08839779005525,24
1637,Tea and coffee,0.998951416015625,1.0,12599,12599,0,6375.552486187846,6,7776,9386.044198895028,1296
1643,Light bulbs,0.998951416015625,1.0,9442,9442,0,875.3093922651934,26,9360,1056.46408839779,360
1646,Tea and coffee,0.998951416015625,0.8038980509745127,63365,50939,12426,3099.2872928176794,37,49950,3629.3591160220994,1350
1650,Hobby and creative,0.998951416015625,1.0,11074,11074,0,606.7900552486187,309,11124,1010.6408839779006,36
1655,Puzzles,0.998951416015625,1.0,57,57,0,1424.2651933701657,0,0,1284.7845303867402,120
1661,Coffee makers and kettles,0.998951416015625,0.6142169566827101,2701,1659,1042,479.0,1977,1977,212.8232044198895,1
1662,Batteries,0.998951416015625,0.9816597890875745,19629,19269,360,490.68508287292815,1975,19750,1235.132596685083,10
1663,Hobby and creative,0.998951416015625,1.0,389,389,0,47.45303867403315,66,396,54.392265193370164,6
1665,Bakeware,0.998951416015625,0.9911504424778761,25086,24864,222,1827.5635359116022,35,23520,3269.524861878453,672
1666,Electric personal care,0.998951416015625,1.0,74624,74624,0,4074.7734806629833,51,74256,4960.596685082873,1456
1668,"Cloths, mops, sponges and brush",0.998951416015625,0.9129321770742607,132035,120539,11496,7492.977900552486,48,92160,16924.701657458565,1920
1669,Store kitchen,0.998951416015625,1.0,8023,8023,0,417.50828729281767,35,8400,902.0497237569061,240
